#TrackerNodes Research,,,,,,,,,,
#Device Fingerprinting,,,,,,,,,,
#Release 1.0 2017,,,,,,,,,,
,,,,,,,,,,
Vendor,Fingerprint,SSL Metadata,Default password,Port,Device type,Protocol,Research,CVE,Exploit,URL
Loxone Smart Home Miniserver,<title>Loxone Smart Home</title>,,admin:admin,7777/8080,Miniserver home controller,Http,,,,
Dedicated Micros, server:ADH-Web,,blank user & pass,,DVR,Http,,,,
e2-LiVE_Smart Home Control System,<title>e2-LiVE_Smart Home Control System</title>,,,80,smart home controller,Http,,,,
Smart Attendance,<title>Smart Attendance</title>,,,8080,android controller,Http,,,,
Phaser 6500DN XEROX printer,server:EWS-NIC5/95.47,,,80,Printer,Http,,,,/default.htm
MJPG-streamer,server : MJPG-Streamer/0.2,,,8081,Remote MJPEG STREAM,Http,,,,
Stealth One,<title>D240</title>,L=DIGICODE,,443,Nas storage,Http,,,,
Yeri Systems,server:TargetWeb/2011.0 (TargetOS) <title>Access Control Device</title>,,,80,Doors control systems,Http,,,,
Intelerad Medical Systems Incorporated,<title>InteleBrowser</title>,O=Intelerad Medical Systems,,443,Intelerad Radiology solution,Http,,,,/InteleBrowser/app
SIEMENS SINAUT MD741-1 ,server:lighttpd/1.4.15,,,443,EGPRS/GPRS-Router,Http,,,,
Verifone Payment system Petroleum/C-Store Control Center,<title>System</title>,O=verifone,,443,Payment system,Http,,,,
Aclara SmartGrid,<title>Aclara SmartGrid EMS- Login Page</title>,O=Tollgrade Communications,,443,Smart Grid,Http,,,,/sms/faces/main.xhtml
DISH - smartbox,server:Hiawatha v9.2,O=Pico Digital,,443,Satellite audio/video,Http,,,,
Swiftbase International Ltd.,<title>TheClimate CM-2 - Sensors</title>,,admin:mallard,80,Climate CM-2  ,http,,,,/dyn_display.htm
OUMAN,<title>OUMAN â€“ EH-net</title>,,admin:admin,80,Remote Operator,http,,,http://< host >/cgi-bin/read.cgi?page=< LFI HERE >,/cgi-bin/read.cgi?page=login.html
